pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,819.052
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,814.3411
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,823.9509
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,826.76
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,818.8295
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,814.1149
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,819.052
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,814.9518
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,817.5409
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,820.25885
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,823.63904
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,818.8295
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,817.1331
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,818.3504
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,818.3504
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,816.64636
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,820.49304
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,824.25903
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,818.8295
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,817.5647
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,818.2949
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,815.0121
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,813.92914
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,824.7054
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,827.6964
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,823.2452
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,814.3411
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,814.9518
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,814.9518
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,817.46246
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,823.57416
